unit,creationdate,startdate,enddate,value
mL/min·kg,2017-11-18 13:46:40 +0530,2017-11-18 13:46:37 +0530,2017-11-18 13:46:37 +0530,41.4593
mL/min·kg,2017-11-24 20:48:59 +0530,2017-11-24 20:48:58 +0530,2017-11-24 20:48:58 +0530,40.2064
mL/min·kg,2017-11-25 08:43:37 +0530,2017-11-25 08:43:36 +0530,2017-11-25 08:43:36 +0530,40.2064
mL/min·kg,2017-12-16 12:05:02 +0530,2017-12-16 12:05:00 +0530,2017-12-16 12:05:00 +0530,40.1913
mL/min·kg,2017-12-24 08:13:58 +0530,2017-12-24 08:13:51 +0530,2017-12-24 08:13:51 +0530,38.4732
mL/min·kg,2017-12-25 07:42:55 +0530,2017-12-25 07:42:55 +0530,2017-12-25 07:42:55 +0530,35.9948
mL/min·kg,2017-12-25 08:08:07 +0530,2017-12-25 08:08:07 +0530,2017-12-25 08:08:07 +0530,34.7333
mL/min·kg,2018-02-16 07:54:25 +0530,2018-02-16 07:54:23 +0530,2018-02-16 07:54:23 +0530,36.6717
mL/min·kg,2018-02-17 18:39:42 +0530,2018-02-17 18:39:40 +0530,2018-02-17 18:39:40 +0530,35.3935
mL/min·kg,2018-02-25 18:43:45 +0530,2018-02-25 18:43:43 +0530,2018-02-25 18:43:43 +0530,35.3935
mL/min·kg,2018-03-18 09:06:33 +0530,2018-03-18 09:06:30 +0530,2018-03-18 09:06:30 +0530,35.0111
mL/min·kg,2018-03-18 09:15:32 +0530,2018-03-18 09:15:32 +0530,2018-03-18 09:15:32 +0530,34.3533
mL/min·kg,2018-03-24 07:44:21 +0530,2018-03-24 07:44:21 +0530,2018-03-24 07:44:21 +0530,33.9545
mL/min·kg,2018-03-25 19:00:58 +0530,2018-03-25 19:00:56 +0530,2018-03-25 19:00:56 +0530,33.8494
mL/min·kg,2018-04-01 09:08:46 +0530,2018-04-01 09:08:46 +0530,2018-04-01 09:08:46 +0530,33.8687
mL/min·kg,2018-04-15 20:54:50 +0530,2018-04-15 20:54:45 +0530,2018-04-15 20:54:45 +0530,33.8687
mL/min·kg,2018-04-21 20:25:10 +0530,2018-04-21 20:25:10 +0530,2018-04-21 20:25:10 +0530,33.471
mL/min·kg,2018-04-22 20:50:11 +0530,2018-04-22 20:50:11 +0530,2018-04-22 20:50:11 +0530,33.2043
mL/min·kg,2018-05-01 20:19:02 +0530,2018-05-01 20:19:00 +0530,2018-05-01 20:19:00 +0530,31.7859
mL/min·kg,2018-11-17 18:42:57 +0530,2018-11-17 18:42:54 +0530,2018-11-17 18:42:54 +0530,30.6084
mL/min·kg,2018-11-30 08:10:01 +0530,2018-11-30 08:09:57 +0530,2018-11-30 08:09:57 +0530,33.0484
mL/min·kg,2018-12-01 08:41:40 +0530,2018-12-01 08:41:40 +0530,2018-12-01 08:41:40 +0530,34.6279
mL/min·kg,2019-02-05 07:06:49 +0530,2019-02-05 07:06:43 +0530,2019-02-05 07:06:43 +0530,37.4948
mL/min·kg,2020-01-10 10:02:56 +0530,2020-01-10 10:02:55 +0530,2020-01-10 10:02:55 +0530,30.7527
mL/min·kg,2020-01-12 18:01:21 +0530,2020-01-12 18:01:19 +0530,2020-01-12 18:01:19 +0530,29.8837
mL/min·kg,2020-01-13 10:26:37 +0530,2020-01-13 10:26:37 +0530,2020-01-13 10:26:37 +0530,29.9111
mL/min·kg,2020-01-13 18:52:31 +0530,2020-01-13 18:52:30 +0530,2020-01-13 18:52:30 +0530,30.7291
mL/min·kg,2020-01-23 19:42:37 +0530,2020-01-23 19:42:33 +0530,2020-01-23 19:42:33 +0530,30.6772
mL/min·kg,2020-03-18 10:27:50 +0530,2020-03-18 10:27:46 +0530,2020-03-18 10:27:46 +0530,30.6331
mL/min·kg,2020-03-18 13:21:13 +0530,2020-03-18 13:21:13 +0530,2020-03-18 13:21:13 +0530,30.6331
mL/min·kg,2020-03-18 15:16:17 +0530,2020-03-18 15:16:16 +0530,2020-03-18 15:16:16 +0530,32.2982
mL/min·kg,2020-03-18 17:41:07 +0530,2020-03-18 17:41:06 +0530,2020-03-18 17:41:06 +0530,31.4885
mL/min·kg,2020-03-19 14:44:08 +0530,2020-03-19 14:44:07 +0530,2020-03-19 14:44:07 +0530,32.2476
mL/min·kg,2020-04-23 19:10:29 +0530,2020-04-23 19:10:25 +0530,2020-04-23 19:10:25 +0530,31.8863
mL/min·kg,2020-04-24 19:18:52 +0530,2020-04-24 19:18:51 +0530,2020-04-24 19:18:51 +0530,31.8863
mL/min·kg,2020-04-25 19:55:54 +0530,2020-04-25 19:55:53 +0530,2020-04-25 19:55:53 +0530,31.8863
mL/min·kg,2020-04-26 19:54:20 +0530,2020-04-26 19:54:20 +0530,2020-04-26 19:54:20 +0530,32.0782
mL/min·kg,2020-04-27 19:46:48 +0530,2020-04-27 19:46:47 +0530,2020-04-27 19:46:47 +0530,31.9465
mL/min·kg,2020-05-04 19:07:13 +0530,2020-05-04 19:07:12 +0530,2020-05-04 19:07:12 +0530,32.05
mL/min·kg,2020-05-07 20:21:31 +0530,2020-05-07 20:21:31 +0530,2020-05-07 20:21:31 +0530,31.8469
mL/min·kg,2020-05-08 18:45:32 +0530,2020-05-08 18:45:31 +0530,2020-05-08 18:45:31 +0530,31.8244
mL/min·kg,2020-05-11 18:57:20 +0530,2020-05-11 18:57:20 +0530,2020-05-11 18:57:20 +0530,31.8244
mL/min·kg,2020-05-14 18:31:07 +0530,2020-05-14 18:31:07 +0530,2020-05-14 18:31:07 +0530,31.6896
mL/min·kg,2020-05-15 19:34:00 +0530,2020-05-15 19:33:59 +0530,2020-05-15 19:33:59 +0530,31.7255
mL/min·kg,2020-05-21 20:14:22 +0530,2020-05-21 20:14:22 +0530,2020-05-21 20:14:22 +0530,31.6207
mL/min·kg,2020-05-23 19:09:54 +0530,2020-05-23 19:09:53 +0530,2020-05-23 19:09:53 +0530,31.6783
mL/min·kg,2020-05-24 19:01:14 +0530,2020-05-24 19:01:14 +0530,2020-05-24 19:01:14 +0530,31.7368
mL/min·kg,2020-05-25 18:41:48 +0530,2020-05-25 18:41:47 +0530,2020-05-25 18:41:47 +0530,31.7687
mL/min·kg,2020-05-27 19:53:02 +0530,2020-05-27 19:53:02 +0530,2020-05-27 19:53:02 +0530,31.7687
mL/min·kg,2020-06-03 18:41:23 +0530,2020-06-03 18:41:22 +0530,2020-06-03 18:41:22 +0530,31.8442
mL/min·kg,2020-06-16 13:12:58 +0530,2020-06-16 13:12:52 +0530,2020-06-16 13:12:52 +0530,31.8442
mL/min·kg,2020-06-22 20:10:34 +0530,2020-06-22 20:10:33 +0530,2020-06-22 20:10:33 +0530,31.8762
mL/min·kg,2020-06-24 18:32:42 +0530,2020-06-24 18:32:41 +0530,2020-06-24 18:32:41 +0530,31.9388
mL/min·kg,2020-06-26 19:03:35 +0530,2020-06-26 19:03:34 +0530,2020-06-26 19:03:34 +0530,31.8734
mL/min·kg,2020-06-28 19:24:51 +0530,2020-06-28 19:24:50 +0530,2020-06-28 19:24:50 +0530,31.8734
mL/min·kg,2020-06-30 19:34:33 +0530,2020-06-30 19:34:32 +0530,2020-06-30 19:34:32 +0530,31.8844
mL/min·kg,2020-07-05 19:24:35 +0530,2020-07-05 19:24:34 +0530,2020-07-05 19:24:34 +0530,31.8844
